Lote,"WT-3120NA-1001 (totalizer) [ton]","WT-3120NA-1002 (totalizer) [ton]","WT-3120NA-1001 (Average unbalance [%]","WT-3120NA-1002 (Average unbalance [%]","WT-3120NA-1001 (Average Overload [%]","WT-3120NA-1002 (Average Overload [%]","WT3120NA01 (Belt Scale)[ton]"
151,3696,3679.2,2.688594393,2.171533624,-0.282485876,-0.508474576,7650
152,3638.175,3609.325,2.917995069,2.746371665,-1.060330912,-1.448412698,7334
153,3676.375,3666.15,2.003644857,1.800262026,-0.546475652,-0.68401937,7380
154,3733.7,3720.25,2.320408975,2.089478065,0.22464353,0.043718052,7400
155,3693.45,3658.55,1.900903347,1.818603512,-0.316787732,-0.786252354,7356
156,3532.85,3511.25,2.657341753,2.758211554,-2.477132096,-2.767688997,7048
157,3733,3722.325,1.872335822,2.275963558,0.215227334,0.071630347,7655
158,3660.925,3685.3,2.378521018,2.351063973,-0.754304547,-0.426419155,7512
159,3747.475,3712.6,2.286945414,2.022228233,0.409940812,-0.059187517,7576
160,3733.675,3714.7,3.261109563,2.518215965,0.224307237,-0.030938929,7427
161,3723.475,3695.725,2.690649205,2.307060797,0.087099812,-0.286185096,7530
162,3685.375,3661.9,2.032345487,1.380134613,-0.425410277,-0.741189131,7450
163,3563.225,3539.125,2.668940765,2.913221526,-2.068536454,-2.392722626,7084
164,3716.875,3692,2.344055928,2.123957844,-0.001681464,-0.336292709,7459
165,3863.825,3883.625,1.688714566,1.481699718,1.975047081,2.241390907,8035
166,3726.55,3711.025,1.71768222,1.43752046,0.128463815,-0.080373957,7607
167,3820.1,3825.05,1.331395872,1.805436612,1.386871133,1.453457089,7923
168,3619.35,3591.65,2.42781011,2.602545684,-1.313559322,-1.686171644,7247
169,3722.5,3747.475,2.814648444,2.717604669,0.073984396,0.409940812,7436
170,3806.125,3792.175,1.263307733,0.828611255,1.198883508,1.011232176,7563
171,3763.3,3747.7,2.129211141,2.093933025,0.622814097,0.412967447,7536
172,3727.975,3712.75,3.005633114,2.773339838,0.147632499,-0.057169761,7558
173,3718.975,3697.975,2.668537942,2.030723835,0.026567124,-0.255918752,7543
174,3761.275,3746.8,1.788243407,1.543410346,0.595574388,0.400860909,7614
175,3770.575,3715.675,4.650429465,3.977368462,0.720675276,-0.017823514,7659
176,3801.25,3783,3.483568679,3.5383474,1.13330643,0.887812752,7594
177,3743.75,3712.175,3.006348236,2.935385641,0.359833199,-0.064904493,7491
178,3680.65,3669.15,2.948800483,3.028142631,-0.488969599,-0.643664245,7360
179,3664.425,3656.9,3.030475756,2.928694508,-0.707223567,-0.808447673,7283
180,3576.3,3546.675,3.677820638,3.288553435,-1.892655367,-2.291162228,7063
181,3853.65,3820.7,2.424185236,2.401304965,1.838175948,1.394942158,7804
182,3747.9,3694.025,4.045412033,4.156425988,0.415657789,-0.309053,7630
183,3714.625,3687.225,2.417030621,2.15954423,-0.031947807,-0.400524617,7546
184,3716.225,3700.375,2.370067667,2.031663404,-0.010425074,-0.223634652,7508
185,3752.575,3778.225,2.4581266,2.055601878,0.478544525,0.823580845,7733
186,3755.075,3780.925,2.587556592,2.758857484,0.512173796,0.859900457,7698
187,3681.7,3673.075,3.814075349,3.873495057,-0.474845305,-0.59086629,7528
188,3700.825,3681.925,1.938381962,2.136328446,-0.217581383,-0.471818671,7507
189,3765.325,3717.325,2.516447262,1.891698,0.650053807,0.004371805,7601
190,3788.725,3744.325,2.520799733,2.316399151,0.964823783,0.367567931,7643
191,3677.5,3630.925,3.186918257,2.31832701,-0.53134248,-1.157855798,7474
192,3500.25,3479.575,1.885950763,1.908559507,-2.915657789,-3.193771859,7011
193,3776.9,3765.5,2.85907233,2.515870853,0.805757331,0.652407856,7529
194,3700.975,3668.025,2.33424811,2.154774316,-0.215563627,-0.658797417,7331
195,3674.375,3651.3,1.74498975,1.563605884,-0.573379069,-0.88377724,7397
196,3786.475,3750.55,2.998332317,3.310956416,0.934557439,0.451304816,7629
197,3681.375,3662.475,2.926521956,2.454175026,-0.479217111,-0.733454399,7381
198,3752.8,3730.725,4.097134493,3.997312889,0.48157116,0.184624697,7590
199,3759.125,3700.825,1.698096503,1.999375207,0.566653215,-0.217581383,7625
200,3700.8,3679.2,1.289618863,1.296886206,-0.217917676,-0.508474576,7580
201,3791.4,3796.55,2.472167792,2.125056559,1.000807103,1.070083401,7783
202,3703.4,3705.725,2.342122314,2.490457404,-0.182943234,-0.151668012,7638
203,3747.625,3723.325,1.992494363,2.333531309,0.411958569,0.085082055,7742
204,3758.5,3717.325,1.945644656,2.09663969,0.558245897,0.004371805,7638
205,3789.775,3746.125,3.209683623,3.052663623,0.978948076,0.391781006,7718
206,3634.075,3601,2.145193411,1.623364935,-1.115482916,-1.560398171,7434
207,3660.475,3634.625,3.377175925,3.085938763,-0.760357815,-1.108084477,7396
208,3672.975,3630.6,2.804711827,3.01914332,-0.592211461,-1.162227603,7409
209,3841.375,3842.55,3.587443978,2.989040785,1.673056228,1.688861985,7730
210,3829.875,3804.05,3.221915306,3.137682295,1.518361582,1.170971213,7657
211,3861.575,3816.775,2.455768036,2.244860727,1.944780737,1.342144202,7711
212,3764.95,3783.5,2.706063295,2.081379517,0.645009416,0.894538606,7747
213,3776.275,3805.925,2.680142298,2.375184477,0.797350013,1.196193167,7777
214,3655.8,3679.375,1.623102584,1.854523026,-0.823244552,-0.506120527,7524
215,3713.125,3651.325,1.92414039,2.363174952,-0.05212537,-0.883440947,7491
216,3688.3,3638.275,2.462517888,2.212421809,-0.38606403,-1.058985741,7548
217,3861.225,3829.6,2.229963557,2.057019762,1.940072639,1.514662362,7646
218,3665.375,3651.65,2.038422411,2.172883183,-0.694444444,-0.879069142,7532
219,3726.4,3727.525,2.281974132,1.844065916,0.126446059,0.141579231,7558
220,3699.475,3667.225,4.168686356,4.680484449,-0.235741189,-0.669558784,7613
221,3690.475,3699.325,1.615642492,1.210121384,-0.356806564,-0.237758945,7570
222,3733.525,3682.45,3.234453728,3.150290084,0.222289481,-0.464756524,7647
223,3789.775,3770.425,2.365600488,1.824864323,0.978948076,0.71865752,7700
224,3777.175,3772.3,4.909065882,4.488951527,0.809456551,0.743879473,7663
225,3708.4,3666.25,1.752004536,1.77703045,-0.115684692,-0.6826742,7544
226,3702.325,3712.675,2.560979201,2.208330173,-0.19740382,-0.058178639,7331
227,3636.875,3606,3.230520706,2.438991545,-1.077818133,-1.493139629,7357
228,3727.425,3699.075,2.160657406,1.888730652,0.14023406,-0.241121872,7332
229,3754.125,3725.275,2.025562404,1.995220362,0.499394673,0.111312887,7406
230,3800.7,3739.6,3.229266528,3.39414777,1.12590799,0.304008609,7581
231,3695.25,3689.775,2.21046577,2.102231825,-0.292574657,-0.36622276,7369
232,3698.925,3708.075,1.997535841,1.843564036,-0.243139629,-0.120056497,7440
233,3801.55,3765.6,3.91557223,3.610890365,1.137341942,0.653753027,7611
234,3869.525,3868.875,1.486063821,1.50061926,2.051721819,2.042978208,7923
235,3912.975,3906.525,1.994533137,1.979031203,2.636198547,2.549435028,7948
236,3753.7,3750.175,2.481473753,2.324641601,0.493677697,0.446260425,7762
237,3605.85,3626.9,2.464518875,2.666610374,-1.495157385,-1.211998924,7677
238,3781.6,3743.65,2.013830486,1.907204434,0.868980361,0.358488028,7608
239,3644.425,3604.975,4.883296221,4.454048647,-0.976257735,-1.50692763,7517
240,3735.1,3689.125,1.835981348,1.399831208,0.243475921,-0.374966371,7550
241,3738.4,3696.025,1.503488207,1.674934191,0.287866559,-0.282149583,7574
242,3763.825,3726.175,2.907990937,2.655674509,0.629876244,0.123419424,7522
